"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:211","Central","[Scene: Central Perk, continued from earlier.]","[Scene: Central Perk, continued from earlier.]",1,"`text`"
"Col:text Row:211","Perk","[Scene: Central Perk, continued from earlier.]","[Scene: Central Perk, continued from earlier.]",1,"`text`"
"Col:text Row:213","Rachel","Rachel has something that she wants to tell you and umm, I believe that this is your red sweater.","Rachel has something that she wants to tell you and umm, I believe that this is your red sweater.",1,"`text`"
"Col:text Row:216","Rach","What's going on Rach?","What's going on Rach?",1,"`text`"
"Col:text Row:217","Phoebe","Phoebe kinda made a mistake.","Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare?",1,"`text`"
"Col:text Row:217","kinda","Phoebe kinda made a mistake.","Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare?",1,"`text`"
"Col:text Row:218","Phoebe","Y'know, I'm actually glad Phoebe called.","Y'know, I'm actually glad Phoebe called. I know we broke up because you thought I wasn't mature enough, but I've really grown up and think we should get back together.",1,"`text`"
"Col:text Row:223","Tag","Tag...","Tag...",1,"`text`"
"Col:text Row:224","Rach","Come on Rach, let's give it another try.","Come on Rach, let's give it another try.",1,"`text`"
"Col:text Row:230","Monica","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents.","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents. She's ashamed of this, at least, because as someone enters...]",1,"`text`"
"Col:text Row:230","Chandler","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents.","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents. She's ashamed of this, at least, because as someone enters...]",1,"`text`"
"Col:text Row:230","Obsessive","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents.","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents. She's ashamed of this, at least, because as someone enters...]",1,"`text`"
"Col:text Row:230","Monica","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents.","[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents. She's ashamed of this, at least, because as someone enters...]",1,"`text`"
"Col:text Row:233","Chandler","I mean, Chandler is never going to trust me with anything ever again!","I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!",1,"`text`"
"Col:text Row:237","Phoebe","(Phoebe and Rachel enter.)","(Phoebe and Rachel enter.)",1,"`text`"
"Col:text Row:237","Rachel","(Phoebe and Rachel enter.)","(Phoebe and Rachel enter.)",1,"`text`"
"Col:text Row:239","Tag","What-what did Tag say?","Yeah. What-what did Tag say?",1,"`text`"
"Col:text Row:240","Tag","Tag is not the father!","Tag is not the father! And Joey knows now?",1,"`text`"
"Col:text Row:240","Joey","And Joey knows now?","Tag is not the father! And Joey knows now?",1,"`text`"
"Col:text Row:241","Rach","I do Rach.","I do Rach. I do, and I so happy for you.",1,"`text`"
"Col:text Row:245","Rach","Hey Rach listen, no matter what this guy says I want you to know you're not gonna be alone in this.","Hey Rach listen, no matter what this guy says I want you to know you're not gonna be alone in this.",1,"`text`"
"Col:text Row:247","Listen","Listen I uh...","Listen I uh... It's a scary world out there especially if you're a single mom. Y'know, I always felt like you and I have this-this special bond. Y'know? So, Rachel Green will you marry me?",1,"`text`"
"Col:text Row:247","Rachel","So, Rachel Green will you marry me?","Listen I uh... It's a scary world out there especially if you're a single mom. Y'know, I always felt like you and I have this-this special bond. Y'know? So, Rachel Green will you marry me?",1,"`text`"
"Col:text Row:247","Green","So, Rachel Green will you marry me?","Listen I uh... It's a scary world out there especially if you're a single mom. Y'know, I always felt like you and I have this-this special bond. Y'know? So, Rachel Green will you marry me?",1,"`text`"
"Col:text Row:253","Joey","Joey, oh you're so sweet.","No! Joey, oh you're so sweet. You're so-so sweet, honey. But I'm not, I'm not looking for a husband.",1,"`text`"
"Col:text Row:256","Joey","But I'll take you back Joey Tribbiani.","I can't say that didn't hurt. But I'll take you back Joey Tribbiani.",1,"`text`"
"Col:text Row:256","Tribbiani","But I'll take you back Joey Tribbiani.","I can't say that didn't hurt. But I'll take you back Joey Tribbiani.",1,"`text`"
"Col:text Row:258","Salami","A Salami Buddy!","Ooh! A Salami Buddy!",1,"`text`"
"Col:text Row:258","Buddy","A Salami Buddy!","Ooh! A Salami Buddy!",1,"`text`"
"Col:text Row:260","Chandler","(Chandler and Ross enter with the new pictures.)","(Chandler and Ross enter with the new pictures.)",1,"`text`"
"Col:text Row:260","Ross","(Chandler and Ross enter with the new pictures.)","(Chandler and Ross enter with the new pictures.)",1,"`text`"
"Col:text Row:265","Ross","Here's a picture of Ross.","Here's a picture of Ross. And that's me. And that's me and Ross. Oh-ho, that is a picture of our first kiss as a married couple.",1,"`text`"
"Col:text Row:265","Ross","And that's me and Ross.","Here's a picture of Ross. And that's me. And that's me and Ross. Oh-ho, that is a picture of our first kiss as a married couple.",1,"`text`"
"Col:text Row:278","Mashuga","Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.","No-no, I took them from the hotel lobby. Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming. Hey! My sweater! I've been looking for this for like a month!",1,"`text`"
"Col:text Row:279","Phoebe","(He exits leaving a stunned Phoebe and Monica.)","(He exits leaving a stunned Phoebe and Monica.)",1,"`text`"
"Col:text Row:279","Monica","(He exits leaving a stunned Phoebe and Monica.)","(He exits leaving a stunned Phoebe and Monica.)",1,"`text`"
"Col:text Row:280","God","Oh my God!!","Oh my God!!",1,"`text`"
"Col:speaker Row:280","NA","NA",NA,1,"`speaker`"
"Col:text Row:281","God","Oh my God!","Oh my God!",1,"`text`"
"Col:text Row:282","Street","[Scene: A Street, Ross walks past Tag wearing the same red sweater.]","[Scene: A Street, Ross walks past Tag wearing the same red sweater.]",1,"`text`"
"Col:text Row:282","Ross","[Scene: A Street, Ross walks past Tag wearing the same red sweater.]","[Scene: A Street, Ross walks past Tag wearing the same red sweater.]",1,"`text`"
"Col:text Row:282","Tag","[Scene: A Street, Ross walks past Tag wearing the same red sweater.]","[Scene: A Street, Ross walks past Tag wearing the same red sweater.]",1,"`text`"
"Col:text Row:288","Rachel","Oh, it's crazy about Rachel huh?","Oh, it's crazy about Rachel huh?",1,"`text`"
