text,speaker,season,episode,scene,utterance
"Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare?",Rachel Green,8,2,10,7
"Y'know, I'm actually glad Phoebe called. I know we broke up because you thought I wasn't mature enough, but I've really grown up and think we should get back together.",Tag Jones,8,2,10,8
"Oh, it's just not the right time.",Rachel Green,8,2,10,9
It is the right time.,Tag Jones,8,2,10,10
Okay.,Rachel Green,8,2,10,11
I'm ready for more.,Tag Jones,8,2,10,12
Tag...,Rachel Green,8,2,10,13
"Come on Rach, let's give it another try.",Tag Jones,8,2,10,14
I'm having a baby.,Rachel Green,8,2,10,15
Oh.,Tag Jones,8,2,10,16
(Pause),Scene Directions,8,2,10,17
You can go.,Rachel Green,8,2,10,18
Thank you.,Tag Jones,8,2,10,19
"[Scene: Monica and Chandler's, Obsessive Monica has finished opening all the presents. She's ashamed of this, at least, because as someone enters...]",Scene Directions,8,2,11,1
I don't know how any of these got opened?!,Monica Geller,8,2,11,2
You opened them all?,Joey Tribbiani,8,2,11,3
"I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!",Monica Geller,8,2,11,4
Oh hey! You got my parent's gift!,Joey Tribbiani,8,2,11,5
Yeah. What is that?,Monica Geller,8,2,11,6
"Well, I don't know. I think it does something to salami.",Joey Tribbiani,8,2,11,7
(Phoebe and Rachel enter.),Scene Directions,8,2,11,8
Hey! How'd it go?,Monica Geller,8,2,11,9
Yeah. What-what did Tag say?,Joey Tribbiani,8,2,11,10
Tag is not the father! And Joey knows now?,Rachel Green,8,2,11,11
"I do Rach. I do, and I so happy for you.",Joey Tribbiani,8,2,11,12
"Oh wow, you didn't even try to unhook my bra!",Rachel Green,8,2,11,13
So are you ever gonna tell whoever it is?,Monica Geller,8,2,11,14
"No, I will. I'm just not up for it tonight.",Rachel Green,8,2,11,15
"Hey Rach listen, no matter what this guy says I want you to know you're not gonna be alone in this.",Joey Tribbiani,8,2,11,16
I'm not?,Rachel Green,8,2,11,17
"Listen I uh... It's a scary world out there especially if you're a single mom. Y'know, I always felt like you and I have this-this special bond. Y'know? So, Rachel Green will you marry me?",Joey Tribbiani,8,2,11,18
What?,Rachel Green,8,2,11,19
What?!,Monica Geller,8,2,11,20
What?!!,Phoebe Buffay,8,2,11,21
"Pheebs, give me the ring back!",Joey Tribbiani,8,2,11,22
No!!,Phoebe Buffay,8,2,11,23
"No! Joey, oh you're so sweet. You're so-so sweet, honey. But I'm not, I'm not looking for a husband.",Rachel Green,8,2,11,24
I understand.,Joey Tribbiani,8,2,11,25
"Now, if you will excuse me I am going to go and lie down.",Rachel Green,8,2,11,26
I can't say that didn't hurt. But I'll take you back Joey Tribbiani.,Phoebe Buffay,8,2,11,27
"Uh yeah. Pheebs, listen about that. I only offered...",Joey Tribbiani,8,2,11,28
Ooh! A Salami Buddy!,Phoebe Buffay,8,2,11,29
There you go!,Joey Tribbiani,8,2,11,30
(Chandler and Ross enter with the new pictures.),Scene Directions,8,2,11,31
We're back!,Chandler Bing,8,2,11,32
Great! We're hangin' in the kitchen! Let's stay in the kitchen!,Monica Geller,8,2,11,33
It's picture time.,Chandler Bing,8,2,11,34
Now you are going to love these.,Ross Geller,8,2,11,35
"Here's a picture of Ross. And that's me. And that's me and Ross. Oh-ho, that is a picture of our first kiss as a married couple.",Chandler Bing,8,2,11,36
Wow! That is a great picture!,Monica Geller,8,2,11,37
Eh?,Chandler Bing,8,2,11,38
Yeah! Oh and interesting because I found the cameras in one of our bags!,Monica Geller,8,2,11,39
"Huh, didn't see that coming.",Ross Geller,8,2,11,40
"Okay, so this isn't a picture of our first, but it is a picture of my first kiss with...with this lady. Which by the look on your face I'm sure you'll remember. So we don't need--There's no need to have this picture. How about I take the real pictures and get them developed right now.",Chandler Bing,8,2,11,41
That would be a good idea.,Monica Geller,8,2,11,42
Okay. You opened all the presents without me?! I thought we were supposed to do that together!,Chandler Bing,8,2,11,43
