text,speaker,season,episode,scene,utterance
Holy mother of God!!!,Phoebe Buffay,8,3,8,21
With my child.,Ross Geller,8,3,8,22
That is brand new information!!,Phoebe Buffay,8,3,8,23
You already know don't you?,Ross Geller,8,3,8,24
A little bit.,Phoebe Buffay,8,3,8,25
How are you doing?,Joey Tribbiani,8,3,8,26
Okay. Okay. I mean I'll be okay. It's just I don't think I handled it very well.,Ross Geller,8,3,8,27
"Well, what did you say to her?",Joey Tribbiani,8,3,8,28
Nothing. But the complaint department at the condom company got an earful. And then when I turned around she was gone.,Ross Geller,8,3,8,29
Oh Ross.,Phoebe Buffay,8,3,8,30
"But hey, in my defense I-I just found out condoms are like only 97% effective.",Ross Geller,8,3,8,31
What?,Joey Tribbiani,8,3,8,32
I gotta go find her.,Ross Geller,8,3,8,33
Whoa! Hey! Whoa!! Hold up! Are you serious?! So like 3% of the time they don't even work?! Huh? They should put that on the box!,Joey Tribbiani,8,3,8,34
Evidently they do.,Ross Geller,8,3,8,35
What?!,Joey Tribbiani,8,3,8,36
"[Scene: The Atlantis Resort, Chandler and Monica are arriving to check in, but are behind the couple from before again.]",Scene Directions,8,3,9,1
I can't believe we're here.,Monica Geller,8,3,9,2
Oh you've got to be kidding me.,Chandler Bing,8,3,9,3
What?,Monica Geller,8,3,9,4
"As a wedding gift to you, the hotel would like to give you the honeymoon suite.",Front Desk Clerk,8,3,9,5
No!! You have been screwing us all day!,Monica Geller,8,3,9,6
Who are you?,Man,8,3,9,7
We're you just ten seconds later!,Chandler Bing,8,3,9,8
Yeah! You already got the first class tickets; you got the lounge! I mean we should get free stuff too! I mean you're not the only ones on your honeymoon!,Monica Geller,8,3,9,9
Well you can have the suite if you want. We don't care about where we stay. We're here to celebrate our love together. We don't have to get free stuff. We just want to be together.,Woman,8,3,9,10
We need the stuff.,Chandler Bing,8,3,9,11
"[Scene: Monica and Chandler's, Joey is on the phone and Phoebe is watching him.]",Scene Directions,8,3,10,1
"Hey Monica it's Joey. Listen uh, Phoebe and I smell gas comin' from your apartment.",Joey Tribbiani,8,3,10,2
What? Are you serious?! Joey smells gas!,Monica Geller,8,3,10,3
What else is new?,Chandler Bing,8,3,10,4
"Yeah and we'd go check it out, but you took away our keys.",Joey Tribbiani,8,3,10,5
Well do something! Get in there!,Monica Geller,8,3,10,6
How? I guess I could break down your door.,Joey Tribbiani,8,3,10,7
Yeah! Do that!,Monica Geller,8,3,10,8
And-and you won't blame us for any damage?,Joey Tribbiani,8,3,10,9
No! Are you doing it?! I don't hear anything! Come on!,Monica Geller,8,3,10,10
"Uh, okay I'll-I'll-I'll break it down.",Joey Tribbiani,8,3,10,11
"Oh hey hi, he's doing it. He's breaking down the door. Okay, we're in.",Phoebe Buffay,8,3,10,12
"[Scene: A doctor's office, Rachel is on an examining table with her legs in the stirrups.]",Scene Directions,8,3,11,1
"Okay Rachel, are you comfortable?",Nurse,8,3,11,2
"If I said I was, would you judge me?",Rachel Green,8,3,11,3
The doctor will be here in a minute to do your sonogram.,Nurse,8,3,11,4
"Okay. Oh man, I swear if they sold these at Pottery Barn...",Rachel Green,8,3,11,5
(There's a knock on the door and Ross enters.),Scene Directions,8,3,11,6
Hi!,Ross Geller,8,3,11,7
Hi!,Rachel Green,8,3,11,8
Uh we-we need to talk.,Ross Geller,8,3,11,9
"Uh-uh-uh, right now? Because I've kinda got an el fresco situation going on over here.",Rachel Green,8,3,11,10
"Please, please I want to apologize for the way I acted earlier today.",Ross Geller,8,3,11,11
"Okay Ross that's fine, but can you please stand near my head?",Rachel Green,8,3,11,12
What? Oh yeah. I'm sorry. I mean I-I think I went a little crazy. I mean I was thinking about myself when I really-I should have been thinking about you Rach...,Ross Geller,8,3,11,13
Okay. Head Ross! Head Ross! Head Ross!,Rachel Green,8,3,11,14
"Right! Right! I just-I want you to know that I'm going to be there through this whole thing, okay? Okay? The doctor's appointments, the uh, the Lamaze classes, uh baby-proofing the apartment-Although we could probably worry about that 'til after we get married.",Ross Geller,8,3,11,15
What married?,Rachel Green,8,3,11,16
"Well yeah, I think we should get married.",Ross Geller,8,3,11,17
"What, because that's your answer to everything?",Rachel Green,8,3,11,18
"No, because that's the right thing to do.",Ross Geller,8,3,11,19
"Yeah, maybe if you're in love. But Ross, we are not in love, are we?",Rachel Green,8,3,11,20
No but...but still you can't possibly do this alone.,Ross Geller,8,3,11,21
Excuse me?,Rachel Green,8,3,11,22
"Come on Rach, you can't even eat alone in a restaurant.",Ross Geller,8,3,11,23
What?!,Rachel Green,8,3,11,24
"I'm just saying if you can't eat by yourself, how do you expect to have a baby by yourself?",Ross Geller,8,3,11,25
I can too eat by myself!,Rachel Green,8,3,11,26
When have you ever?,Ross Geller,8,3,11,27
When certain people leave the table and I am not finished!,Rachel Green,8,3,11,28
Well certain other people take two hours to eat a bowl of soup!,Ross Geller,8,3,11,29
"Oh please, you inhale your food!",Rachel Green,8,3,11,30
I grew up with Monica! If you didn't eat fast you didn't eat!!,Ross Geller,8,3,11,31
Am I interrupting?,Dr. Long,8,3,11,32
"Oh no Dr. Long, please come in. This is Ross, he is the father.",Rachel Green,8,3,11,33
"But not the husband, because evidently she can do this alone.",Ross Geller,8,3,11,34
Huh. Nice to meet you. I'll get started on this.,Dr. Long,8,3,11,35
I don't know why you can't admit that you need me.,Ross Geller,8,3,11,36
I do need you! I need you to stand near my head!,Rachel Green,8,3,11,37
"Okay, everything looks good. Here it is on the screen. Here is your uterus. And right here is your baby.",Dr. Long,8,3,11,38
Oh my God.,Ross Geller,8,3,11,39
"Wow. There it is, I see it.",Rachel Green,8,3,11,40
Congratulations. I'll give you two a minute.,Dr. Long,8,3,11,41
Okay.,Rachel Green,8,3,11,42
Thank you.,Ross Geller,8,3,11,43
(Dr. Long exits and Rachel starts to cry.),Scene Directions,8,3,11,44
Pretty amazing huh?,Ross Geller,8,3,11,45
I don't see it!,Rachel Green,8,3,11,46
What? What?!,Ross Geller,8,3,11,47
I can't see it!,Rachel Green,8,3,11,48
You-you just said that you did!,Ross Geller,8,3,11,49
"I know, I lied! I didn't want her to think I was a terrible mother! I can't even see my own baby!",Rachel Green,8,3,11,50
